company,year,quarter,highlight_type,speaker,text,relevance_score,role_bucket,role,quote,score
Alphabet,2019,1,CFO_Financial_Detail,Unknown,"Total traffic acquisition costs were $6.9 billion, or 22% of total advertising revenues, and up 9% year-over-year.",6.9182,CFO,CFO,"Total traffic acquisition costs were $6.9 billion, or 22% of total advertising revenues, and up 9% year-over-year.",6.9182
Alphabet,2019,1,CFO_Financial_Detail,Unknown,"Network revenues were $5 billion, up 8% year-on-year, continuing to reflect the performance of the primary drivers of growth, AdMob, followed by Google Ad Manager.",5.1,CFO,CFO,"Network revenues were $5 billion, up 8% year-on-year, continuing to reflect the performance of the primary drivers of growth, AdMob, followed by Google Ad Manager.",5.1
Alphabet,2019,1,CFO_Financial_Detail,Unknown,"On a consolidated basis, total cost of revenues, including TAC, which I will discuss in the Google segment results, was $16 billion, up 19% year-on-year.",5.0955,CFO,CFO,"On a consolidated basis, total cost of revenues, including TAC, which I will discuss in the Google segment results, was $16 billion, up 19% year-on-year.",5.0955
Alphabet,2019,1,CFO_Financial_Detail,Unknown,"Other cost of revenues on a consolidated basis was $9.2 billion, up 27% year-over-year, primarily driven by Google-related expenses.",5.0,CFO,CFO,"Other cost of revenues on a consolidated basis was $9.2 billion, up 27% year-over-year, primarily driven by Google-related expenses.",5.0
Alphabet,2019,1,CFO_Financial_Detail,Unknown,"In terms of the revenue detail, Google Sites revenues were $25.7 billion in the quarter, up 17% year-over-year.",4.9045,CFO,CFO,"In terms of the revenue detail, Google Sites revenues were $25.7 billion in the quarter, up 17% year-over-year.",4.9045
Alphabet,2019,1,CFO_Financial_Detail,Unknown,"In the first quarter, total revenues of $36.3 billion were up 17% year-on-year and up 19% in constant currency following a strong 2018.",4.7136,CFO,CFO,"In the first quarter, total revenues of $36.3 billion were up 17% year-on-year and up 19% in constant currency following a strong 2018.",4.7136
Alphabet,2019,1,CFO_Financial_Detail,Unknown,"Our total revenues of $36.3 billion reflect a negative currency impact year-over-year of $1.2 billion, or $1 billion after the impact of our hedging program.",4.1,CFO,CFO,"Our total revenues of $36.3 billion reflect a negative currency impact year-over-year of $1.2 billion, or $1 billion after the impact of our hedging program.",4.1
Alphabet,2019,1,CFO_Financial_Detail,Unknown,"APAC revenues were 6.1 billion, up 27% versus last year, and up 31% in constant currency, reflecting primarily the weakness of the Australian dollar and the Indian rupee.",4.1,CFO,CFO,"APAC revenues were 6.1 billion, up 27% versus last year, and up 31% in constant currency, reflecting primarily the weakness of the Australian dollar and the Indian rupee.",4.1
Alphabet,2019,1,Strategic_Announcement,Unknown,"In fact, as we announced in the first quarter, we expect CapEx of over $13 billion in 2019 just in the U.S.",3.7864,CFO,CFO,"In fact, as we announced in the first quarter, we expect CapEx of over $13 billion in 2019 just in the U.S.",3.7864
Alphabet,2019,1,Strategic_Announcement,Unknown,"Loon announced a long-term strategic relationship to advance the use of high-altitude vehicles to deliver connectivity with SoftBank's telecoms group, HAPS Mobile, which will invest $125 million in Loon.",3.0,CFO,CFO,"Loon announced a long-term strategic relationship to advance the use of high-altitude vehicles to deliver connectivity with SoftBank's telecoms group, HAPS Mobile, which will invest $125 million in Loon.",3.0
Alphabet,2019,1,Strategic_Announcement,Unknown,"The first quarter last year obviously included a sizable real estate acquisition in New York, But overall, we continue to invest meaningfully in our technical infrastructure, given our outlook for compute requirements to support long-term growth.",3.0,CFO,CFO,"The first quarter last year obviously included a sizable real estate acquisition in New York, But overall, we continue to invest meaningfully in our technical infrastructure, given our outlook for compute requirements to support long-term growth.",3.0
Alphabet,2019,1,Strategic_Announcement,Unknown,"And we did announce in March that we're making one of our 3D LiDAR sensors available to companies outside of the self-driving car service, beginning with robotics and physical security.",3.0,CFO,CFO,"And we did announce in March that we're making one of our 3D LiDAR sensors available to companies outside of the self-driving car service, beginning with robotics and physical security.",3.0
Alphabet,2019,1,Strategic_Announcement,Unknown,"With respect to hardware results, while the first quarter results reflect pressures in the premium smartphone industry, we are pleased with the ongoing momentum for assistant-enabled home devices, particularly the Home Hub and Mini devices, and look forward to our May 7th announcement at I.O.",2.6,CFO,CFO,"With respect to hardware results, while the first quarter results reflect pressures in the premium smartphone industry, we are pleased with the ongoing momentum for assistant-enabled home devices, particularly the Home Hub and Mini devices, and look forward to our May 7th announcement at I.O.",2.6
Alphabet,2019,1,Strategic_Announcement,Unknown,"Key recent accomplishments include Waymo recently announced that it will expand its activities in Michigan, opening a facility in Detroit that will be the first factory dedicated to the production of L4 autonomous vehicles.",2.0,CFO,CFO,"Key recent accomplishments include Waymo recently announced that it will expand its activities in Michigan, opening a facility in Detroit that will be the first factory dedicated to the production of L4 autonomous vehicles.",2.0
Alphabet,2019,2,Strategic_Announcement,Unknown,"And so just wanted to add in here because while we're excited about the new ads products we announced at GML last quarter, given they offer great new user experiences across new services, We don't view this year's slate of launches differently from introductions made in previous years.",4.0,CFO,CFO,"And so just wanted to add in here because while we're excited about the new ads products we announced at GML last quarter, given they offer great new user experiences across new services, We don't view this year's slate of launches differently from introductions made in previous years.",4.0
Alphabet,2019,2,Strategic_Announcement,Unknown,"Can you give us a little bit of additional color on what some of the key investments you're making, some of the key themes you're trying to drive after in terms of pushing the organization to collaborate on product launches and leveraging the strengths within Google?",4.0,OTHER,,"Can you give us a little bit of additional color on what some of the key investments you're making, some of the key themes you're trying to drive after in terms of pushing the organization to collaborate on product launches and leveraging the strengths within Google?",4.0
Alphabet,2019,2,Strategic_Announcement,Unknown,"I wanted to ask, Sunder, how you've seen your go-to-market and partnership strategies change under Thomas It does seem as if Google has become the more friendly cloud company, if you will, when you think about partnering with other software companies.",3.0,OTHER,,"I wanted to ask, Sunder, how you've seen your go-to-market and partnership strategies change under Thomas It does seem as if Google has become the more friendly cloud company, if you will, when you think about partnering with other software companies.",3.0
Alphabet,2019,2,Strategic_Announcement,Unknown,"Ruth Peratt CFO And just building a bit on that question and the impact from some of the announcements that you've seen from us, you know, just comment a bit on the impact from Google Marketing Live that Sundar referenced at the outset.",2.0,CFO,CFO,"Ruth Peratt CFO And just building a bit on that question and the impact from some of the announcements that you've seen from us, you know, just comment a bit on the impact from Google Marketing Live that Sundar referenced at the outset.",2.0
Alphabet,2019,3,Strategic_Announcement,Unknown,"I wanted to ask another one about a new product you guys announced earlier this year at GML, and that was really Google Shopping and moving that across some of the new different properties like YouTube and Image Search and Discover.",2.0,OTHER,,"I wanted to ask another one about a new product you guys announced earlier this year at GML, and that was really Google Shopping and moving that across some of the new different properties like YouTube and Image Search and Discover.",2.0
Alphabet,2020,4,Strategic_Announcement,Unknown,"And then given some of the changing industry dynamics around privacy, including what you've already announced around browser cookies, Wondering what plans might be as well for Android and how we should think about the potential impact on ad revenues broadly as a result of privacy changes.",4.0,OTHER,,"And then given some of the changing industry dynamics around privacy, including what you've already announced around browser cookies, Wondering what plans might be as well for Android and how we should think about the potential impact on ad revenues broadly as a result of privacy changes.",4.0
Alphabet,2021,3,CFO_Financial_Detail,Unknown,"In terms of the iOS 14 changes specifically, they had a modest impact on YouTube revenues.",4.8091,CFO,CFO,"In terms of the iOS 14 changes specifically, they had a modest impact on YouTube revenues.",4.8091
Alphabet,2022,1,Strategic_Announcement,Unknown,"And by the way, just today, we announced new features for Performance Max, including new customer acquisition goals, new campaign level insights, more details about the one-click upgrade tool for smart shopping and local campaigns.",4.0,OTHER,,"And by the way, just today, we announced new features for Performance Max, including new customer acquisition goals, new campaign level insights, more details about the one-click upgrade tool for smart shopping and local campaigns.",4.0
Alphabet,2022,1,Strategic_Announcement,Unknown,"In terms of revenues, the most direct impact is the fact that we suspended the vast majority of our commercial activities in Russia, as we announced in early March.",3.0,CFO,CFO,"In terms of revenues, the most direct impact is the fact that we suspended the vast majority of our commercial activities in Russia, as we announced in early March.",3.0
Alphabet,2022,2,CEO_Quote,Unknown,"With an uncertain global economic outlook, our strategy to invest in deep technology and computer science to build helpful products for the long term is the right one.",5.5,CEO,CEO,"With an uncertain global economic outlook, our strategy to invest in deep technology and computer science to build helpful products for the long term is the right one.",5.5
Alphabet,2022,2,Strategic_Announcement,Unknown,"and we continue to introduce new cybersecurity products that help customers detect, protect, and respond to a broad range of cybersecurity threats.",2.9682,CEO,CEO,"and we continue to introduce new cybersecurity products that help customers detect, protect, and respond to a broad range of cybersecurity threats.",2.9682
Alphabet,2022,2,Strategic_Announcement,Unknown,"It also began charging trusted tester riders in San Francisco, a step closer to launching a commercial service with fully autonomous trips.",2.9318,CEO,CEO,"It also began charging trusted tester riders in San Francisco, a step closer to launching a commercial service with fully autonomous trips.",2.9318
Alphabet,2022,2,CEO_Quote,Unknown,"And a new immersive view in maps uses computer vision, AI, and billions of images to create high-fidelity representations of places around the world.",2.8773,CEO,CEO,"And a new immersive view in maps uses computer vision, AI, and billions of images to create high-fidelity representations of places around the world.",2.8773
Alphabet,2023,3,CFO_Financial_Detail,Unknown,Those using it achieve like on average over 18% more conversions at a similar cost per action.,3.8273,CFO,CFO,Those using it achieve like on average over 18% more conversions at a similar cost per action.,3.8273
Alphabet,2023,4,Strategic_Announcement,Unknown,"In fact, actually, since we introduced revenue sharing for Shorts, the total creator earnings generated from Shorts have increased every month, and we expect this to continue.",4.0,CFO,CFO,"In fact, actually, since we introduced revenue sharing for Shorts, the total creator earnings generated from Shorts have increased every month, and we expect this to continue.",4.0
Alphabet,2023,4,Strategic_Announcement,Unknown,"In the fourth quarter, you can, you know, and it also goes to the announcements around first quarter and much slower pace of hiring.",1.9,CFO,CFO,"In the fourth quarter, you can, you know, and it also goes to the announcements around first quarter and much slower pace of hiring.",1.9
Alphabet,2024,4,CFO_Financial_Detail,Unknown,"The 14% growth in YouTube advertising revenues was driven by strong spend on US election advertising, with combined spend from both parties almost doubling from what we saw in the 2020 elections.",6.8,CFO,CFO,"The 14% growth in YouTube advertising revenues was driven by strong spend on US election advertising, with combined spend from both parties almost doubling from what we saw in the 2020 elections.",6.8
Alphabet,2024,4,CFO_Financial_Detail,Unknown,"Retail was particularly strong this holiday season, especially on Black Friday and Cyber Monday, which each generated over $1 billion in ad revenue.",6.7727,CFO,CFO,"Retail was particularly strong this holiday season, especially on Black Friday and Cyber Monday, which each generated over $1 billion in ad revenue.",6.7727
Alphabet,2024,4,CFO_Financial_Detail,Unknown,"Google services revenues were $84 billion for the quarter, up 10%, driven primarily by 11% year-on-year growth in advertising revenues.",6.0136,CFO,CFO,"Google services revenues were $84 billion for the quarter, up 10%, driven primarily by 11% year-on-year growth in advertising revenues.",6.0136
Alphabet,2024,4,CFO_Financial_Detail,Unknown,This contributed to 20% year-on-year revenue growth for travel advertisers across Cyber Monday and Travel Tuesday.,5.9182,CFO,CFO,This contributed to 20% year-on-year revenue growth for travel advertisers across Cyber Monday and Travel Tuesday.,5.9182
Alphabet,2024,4,Strategic_Announcement,Unknown,"I'll quickly cover performance for the quarter, then frame the rest of my remarks around the progress we're delivering across search, ads, YouTube and partnerships, highlighting the impact AI is having on our business and our customers.",5.0,CFO,CFO,"I'll quickly cover performance for the quarter, then frame the rest of my remarks around the progress we're delivering across search, ads, YouTube and partnerships, highlighting the impact AI is having on our business and our customers.",5.0
Alphabet,2024,4,CFO_Financial_Detail,Unknown,"In terms of vertical performance, the 13% increase in search and other revenues was led by financial services, followed by retail.",4.9909,CFO,CFO,"In terms of vertical performance, the 13% increase in search and other revenues was led by financial services, followed by retail.",4.9909
Alphabet,2024,4,Strategic_Announcement,Unknown,"As always, let me wrap with a strong momentum we're seeing in partnerships, where the breadth of what Google has to offer is increasingly being recognized.",4.7,CFO,CFO,"As always, let me wrap with a strong momentum we're seeing in partnerships, where the breadth of what Google has to offer is increasingly being recognized.",4.7
Alphabet,2024,4,CFO_Financial_Detail,Unknown,"In fact, the number of creators making majority of revenue from TV is up over 30% year on year.",3.8318,CFO,CFO,"In fact, the number of creators making majority of revenue from TV is up over 30% year on year.",3.8318
Alphabet,2024,4,Strategic_Announcement,Unknown,"Looking at creative, we introduced new controls and made reporting easier in PMAX, helping customers better understand and reinvest into their best performing assets.",3.0,CFO,CFO,"Looking at creative, we introduced new controls and made reporting easier in PMAX, helping customers better understand and reinvest into their best performing assets.",3.0
Alphabet,2024,4,Strategic_Announcement,Unknown,"Another expanding partnership is with Citi, who's modernizing its technology infrastructure with Google Cloud to transform employee and customer experiences.",3.0,CFO,CFO,"Another expanding partnership is with Citi, who's modernizing its technology infrastructure with Google Cloud to transform employee and customer experiences.",3.0
Alphabet,2024,4,Strategic_Announcement,Unknown,"Expanding on our state-of-the-art video generation model, we announced VO2, which creates incredibly high-quality video in a wide range of subjects and styles.",2.0,CFO,CFO,"Expanding on our state-of-the-art video generation model, we announced VO2, which creates incredibly high-quality video in a wide range of subjects and styles.",2.0
Alphabet,2025,1,Strategic_Announcement,Unknown,"Philip Schindler Chief Business Officer thank you yeah look on the ads uh of uh in ai overviews uh last uh late last year actually we launched uh them within the air overviews on mobile in the us and this builds on our previous rollout of ads above and below so this was a change we have but as i talked about it before For AI overviews, overall, we see the monetization at approximately the same rate, which gives us a ",6.7,OTHER,,"Philip Schindler Chief Business Officer thank you yeah look on the ads uh of uh in ai overviews uh last uh late last year actually we launched uh them within the air overviews on mobile in the us and this builds on our previous rollout of ads above and below so this was a change we have but as i talked about it before For AI overviews, overall, we see the monetization at approximately the same rate, which gives us a ",6.7
Alphabet,2025,1,Strategic_Announcement,Unknown,"And as I noticed, Q1 was really our largest expansion to date for AI overviews, both in terms of launching to new users and providing responses for more questions.",4.0,OTHER,,"And as I noticed, Q1 was really our largest expansion to date for AI overviews, both in terms of launching to new users and providing responses for more questions.",4.0
Alphabet,2025,1,Strategic_Announcement,Unknown,"You've seen some of the announcement and some of the changes, but we're focusing on continuing to moderate the pace of compensation growth, looking at our real estate footprint, and again, the build-out and utilization of our technical infrastructure across the business.",3.0,CFO,CFO,"You've seen some of the announcement and some of the changes, but we're focusing on continuing to moderate the pace of compensation growth, looking at our real estate footprint, and again, the build-out and utilization of our technical infrastructure across the business.",3.0
Alphabet,2025,1,Strategic_Announcement,Unknown,"And we've announced things such as consolidation of teams, which helps not just with cost, but with velocity and speed.",2.8409,CFO,CFO,"And we've announced things such as consolidation of teams, which helps not just with cost, but with velocity and speed.",2.8409
Alphabet,2025,4,Strategic_Announcement,Unknown,"Anat Ashkenazi Chief Financial Officer And the question with regards to the capex and what makes up the total that we've announced for this year and last year, approximately 60% of our investment in 2025, and it's going to be fairly similar in 2026, went towards machines, so the servers.",4.0,CFO,CFO,"Anat Ashkenazi Chief Financial Officer And the question with regards to the capex and what makes up the total that we've announced for this year and last year, approximately 60% of our investment in 2025, and it's going to be fairly similar in 2026, went towards machines, so the servers.",4.0
Amazon,2019,1,Strategic_Announcement,Unknown,"Our guidance also assumes, among other things, that we don't conclude any additional business acquisitions, investments, restructurings, or legal settlements.",4.0,OTHER,,"Our guidance also assumes, among other things, that we don't conclude any additional business acquisitions, investments, restructurings, or legal settlements.",4.0
Amazon,2019,2,CFO_Financial_Detail,Unknown,But I would say that we are attributing a good bit of the revenue growth acceleration from 17% in Q1 to 20% in Q2.,4.6182,CFO,CFO,But I would say that we are attributing a good bit of the revenue growth acceleration from 17% in Q1 to 20% in Q2.,4.6182
Amazon,2019,3,CFO_Financial_Detail,Unknown,"So as we head into Q4, we've added what's just nearly a $1.5 billion penalty in Q4 year over year for the cost of shipping, which is essentially transportation costs, the cost of expanding our transportation capacity, things like adding additional poles and shifts in our warehouses, the cost of forward deploying inventory closer to customers.",5.1,CFO,CFO,"So as we head into Q4, we've added what's just nearly a $1.5 billion penalty in Q4 year over year for the cost of shipping, which is essentially transportation costs, the cost of expanding our transportation capacity, things like adding additional poles and shifts in our warehouses, the cost of forward deploying inventory closer to customers.",5.1
Amazon,2019,4,Strategic_Announcement,Unknown,"And at those events, we not only get to present our new products, and there were over 100 that were launched in December, but we also get to hear customer issues and help That helps design or educate our forward roadmap.",4.0,OTHER,,"And at those events, we not only get to present our new products, and there were over 100 that were launched in December, but we also get to hear customer issues and help That helps design or educate our forward roadmap.",4.0
Amazon,2020,1,CFO_Financial_Detail,Unknown,"First, I just wanted to ask, within the $4 billion of COVID-related incremental costs in 2Q, you talk about spending hundreds of millions on your own testing capabilities.",4.1,CFO,CFO,"First, I just wanted to ask, within the $4 billion of COVID-related incremental costs in 2Q, you talk about spending hundreds of millions on your own testing capabilities.",4.1
Amazon,2020,2,Strategic_Announcement,Unknown,"Our guidance also assumes, among other things, that we don't conclude any additional business acquisitions, investments, restructurings, or legal settlements It's not possible to accurately predict demand for our goods and services, and therefore, our actual results could differ materially from our guidance.",5.0,OTHER,,"Our guidance also assumes, among other things, that we don't conclude any additional business acquisitions, investments, restructurings, or legal settlements It's not possible to accurately predict demand for our goods and services, and therefore, our actual results could differ materially from our guidance.",5.0
Amazon,2020,3,CEO_Quote,Unknown,"The largest portion of these costs relate to continued productivity headwinds in our facilities, including process revisions to allow for social distancing and incremental costs to ramp up new facilities and the large influx of new employees hired to support strong customer demand.",6.2,CEO,CEO,"The largest portion of these costs relate to continued productivity headwinds in our facilities, including process revisions to allow for social distancing and incremental costs to ramp up new facilities and the large influx of new employees hired to support strong customer demand.",6.2
Amazon,2020,3,Strategic_Announcement,Unknown,"Our guidance also assumes, among other things, that we don't conclude any additional business acquisitions, investments, restructurings, or legal settlements.",4.0,OTHER,,"Our guidance also assumes, among other things, that we don't conclude any additional business acquisitions, investments, restructurings, or legal settlements.",4.0
Amazon,2020,4,CFO_Financial_Detail,Unknown,"This guidance also reflects our estimates to date regarding the impact of the COVID-19 pandemic on our operations, including those discussed in our filings with the SEC.",4.1,CFO,CFO,"This guidance also reflects our estimates to date regarding the impact of the COVID-19 pandemic on our operations, including those discussed in our filings with the SEC.",4.1
Amazon,2020,4,Strategic_Announcement,Unknown,"Our guidance also assumes, among other things, that we don't conclude any additional business acquisitions, investments, restructurings, or legal settlements.",4.0,CFO,CFO,"Our guidance also assumes, among other things, that we don't conclude any additional business acquisitions, investments, restructurings, or legal settlements.",4.0
Amazon,2020,4,Strategic_Announcement,Unknown,"And today we announced that our founder and CEO, Jeff Bezos, will transition to the role of executive chair in the third quarter of this year, and that Andy Jassy will become chief executive officer at that time.",3.0,CEO,CEO,"And today we announced that our founder and CEO, Jeff Bezos, will transition to the role of executive chair in the third quarter of this year, and that Andy Jassy will become chief executive officer at that time.",3.0
Amazon,2020,4,Strategic_Announcement,Unknown,"Amazon Music launched podcasts in September, and in Q4, Prime members listened to millions of hours of podcasts each month.",2.8591,CEO,CEO,"Amazon Music launched podcasts in September, and in Q4, Prime members listened to millions of hours of podcasts each month.",2.8591
Amazon,2020,4,Strategic_Announcement,Unknown,"I realize that you may have questions about the news which we announced today in our press release, but I would like to begin with some comments on Q4 results, and then we can proceed to your questions.",2.0,CEO,CEO,"I realize that you may have questions about the news which we announced today in our press release, but I would like to begin with some comments on Q4 results, and then we can proceed to your questions.",2.0
Amazon,2020,4,Strategic_Announcement,Unknown,"The team also announced significant customer momentum with new commitments and migrations from JPMorgan Chase, Thomson Reuters, ViacomCVS, and Twitter, just to name a few.",2.0,CEO,CEO,"The team also announced significant customer momentum with new commitments and migrations from JPMorgan Chase, Thomson Reuters, ViacomCVS, and Twitter, just to name a few.",2.0
Amazon,2021,1,CFO_Financial_Detail,Unknown,"Looking ahead, we expect to incur approximately $1.5 billion in COVID-19 related operating costs in the second quarter.",5.9409,CFO,CFO,"Looking ahead, we expect to incur approximately $1.5 billion in COVID-19 related operating costs in the second quarter.",5.9409
Amazon,2021,1,CFO_Financial_Detail,Unknown,"In North America, revenue growth of 39% largely reflects the continuation of demand trends that we have seen since the early months of the pandemic.",5.0727,CFO,CFO,"In North America, revenue growth of 39% largely reflects the continuation of demand trends that we have seen since the early months of the pandemic.",5.0727
Amazon,2021,1,CFO_Financial_Detail,Unknown,"And finally, to summarize our financial results, total revenue of $108.5 billion came in above the guidance range of $100 billion to $106 billion.",5.0636,CFO,CFO,"And finally, to summarize our financial results, total revenue of $108.5 billion came in above the guidance range of $100 billion to $106 billion.",5.0636
Amazon,2021,1,CFO_Financial_Detail,Unknown,We incurred a little less than the $2 billion in COVID-19 related operating costs that we had projected in the first quarter.,4.9682,CFO,CFO,We incurred a little less than the $2 billion in COVID-19 related operating costs that we had projected in the first quarter.,4.9682
Amazon,2021,1,CFO_Financial_Detail,Unknown,It added $13 billion of revenue in the last 12 months as opposed to prior $10 billion in the prior 12 months before that.,4.95,CFO,CFO,It added $13 billion of revenue in the last 12 months as opposed to prior $10 billion in the prior 12 months before that.,4.95
Amazon,2021,1,CFO_Financial_Detail,Unknown,"Revenue growth in our international segment grew 50% on an FX neutral basis year over year in Q1, as restrictive regional and national lockdowns were in place throughout the quarter.",4.1,CFO,CFO,"Revenue growth in our international segment grew 50% on an FX neutral basis year over year in Q1, as restrictive regional and national lockdowns were in place throughout the quarter.",4.1
Amazon,2021,1,CFO_Financial_Detail,Unknown,Our 3P seller services revenue increased 60% on an FX-neutral basis year-over-year in the first quarter.,3.8727,CFO,CFO,Our 3P seller services revenue increased 60% on an FX-neutral basis year-over-year in the first quarter.,3.8727
Amazon,2021,1,CFO_Financial_Detail,Unknown,Operating income of $8.9 billion in Q1 was above our guidance range of $3 billion to $6.5 billion.,3.8455,CFO,CFO,Operating income of $8.9 billion in Q1 was above our guidance range of $3 billion to $6.5 billion.,3.8455
Amazon,2021,1,Strategic_Announcement,Unknown,"Even in some regions that we've been in for a few years, places like Turkey, we launched Prime in the back half of last year.",2.8682,OTHER,,"Even in some regions that we've been in for a few years, places like Turkey, we launched Prime in the back half of last year.",2.8682
Amazon,2021,1,Strategic_Announcement,Unknown,"For example, last quarter we announced new commitments and migrations from some of the world's most renowned sports leagues, the National Hockey League, the PGA Tour, Formula One, and the German Bundesliga.",2.0,CFO,CFO,"For example, last quarter we announced new commitments and migrations from some of the world's most renowned sports leagues, the National Hockey League, the PGA Tour, Formula One, and the German Bundesliga.",2.0
Amazon,2021,2,CFO_Financial_Detail,Unknown,"This allowed our revenue growth rate to jump to the 35% to 45% range, and it remained at that level through Q1 of this year when we had 41% growth.",6.0682,CFO,CFO,"This allowed our revenue growth rate to jump to the 35% to 45% range, and it remained at that level through Q1 of this year when we had 41% growth.",6.0682
