year,quarter,company,role_bucket,speaker,quote,score
2020,1,Comcast,CEO,Unknown,"Our strategy has not changed, but our pace and tactics are being reprioritized so that we can emerge quickly as industry leaders across each of our businesses.",3.9
2020,1,Comcast,CEO,Unknown,"While we have limited access to people's homes as we shelter in place, we continue to connect customers with our newly implemented drop-and-go strategy, and we've had tremendous success with our self-install kits, which are especially easy for broadband.",3.9
2020,1,Disney,CEO,Unknown,So we have probably more of a marketing effort and I'd say more of a challenge now to launch in those markets.,3.4
2020,1,Comcast,CEO,Unknown,"And then we have businesses like theme parks, as well as television and film production, which will be under substantial duress because we must shelter in place.",1.9
2020,1,Disney,CFO,Unknown,"ESPN's domestic linear advertising revenue was down 4.5% in the first quarter due to lower average viewership, primarily for NBA and college football regular season games.",6.1
2020,2,Meta Platforms,CEO,Unknown,"We saw an increase in portal sales across the whole product line this quarter, and Quest which we launched last May, already has more usage than any other device in our ecosystem.",4.0
2020,2,Spotify,CEO,Unknown,"And with that, I'm very excited about both the launches we've already had, but also the coming announcements in the coming quarters about all the other shows that we're making, that there should be something for every single person on the Spotify platform, and more and more of those shows will only exist on Spotify.",4.0
2020,2,Meta Platforms,CEO,Unknown,"Economically, With the initial CARES Act stimulus ending here in the U.S., it's unclear what the economic outlook will be during this next period.",2.8636
2020,2,Spotify,CEO,Unknown,"Because this, as we have talked about before, even with the announcement of Joe Rogan, this was the number one searched for show on Spotify that we're now including.",2.0
2020,2,Spotify,CEO,Unknown,"So I think the combination of those two growth will still be the priority, given that we're talking about in the billions.",1.7545
2020,2,Disney,CFO,Unknown,"Cable results reflect the consolidation of the 21 CF cable businesses, largely offset by a decrease at ESPN, where growth in affiliate revenue was more than offset by higher programming and production costs and lower advertising revenue.",7.1
2020,2,Comcast,CFO,Unknown,"But I think the question that's coming in is why does that affect high-speed data revenue growth rates, which we said adjusted for that are up 9% versus, you know, the printed number.",6.1
2020,2,Disney,CFO,Unknown,"Total broadcasting ad revenue was 3% higher in the quarter, driven by consolidation of 21 CF and higher political advertising at our owned stations.",6.0727
2020,3,Amazon,CEO,Unknown,"The largest portion of these costs relate to continued productivity headwinds in our facilities, including process revisions to allow for social distancing and incremental costs to ramp up new facilities and the large influx of new employees hired to support strong customer demand.",6.2
2020,3,Comcast,CEO,Unknown,"We've seen a number of ways, and it leads right into advertising, because it's an ability to not only give you a good experience in charge through our subscription fees, depending on what level of service it is, but in the case of whether it's lower churn for our broadband, whether it's additional advertising with Zumo and on smart television platforms and other things we have on our roadmap, which are very exciting,",4.9
2020,3,Disney,CEO,Unknown,"In terms of the general entertainment offering internationally, we want to mirror our successful Disney Plus strategy by using our Disney Plus technical platform, rooting it in content that we already own, and distributing it under a successful international brand that we also already own, which is, of course, Star, and then bringing it to market in a very close association to Disney.",4.9
2020,3,Apple,CEO,Unknown,"We attribute this increase in demand to several interactive causes, including a strong iPhone SE launch, continued economic stimulus, and potentially some benefit from shelter-in-place restrictions lifting around the world.",4.7
2020,3,Comcast,CEO,Unknown,"Our third strategic priority is streaming, which not only provides us with another increasingly important way to reach our viewers and monetize our content, but it also drives demand for higher speeds and more reliable broadband and differentiates and improves the economics of aggregation.",4.6
2020,3,Apple,CEO,Unknown,"Based on these results and our performance over the last four quarters, we are proud to announce that we have achieved our goal of doubling our fiscal 2016 services revenue six months ahead of schedule.",4.0
2020,3,Apple,CEO,Unknown,"Earlier this month, we announced significant enhancements to the Develop and Swift and Everyone Can Code curricula, and we launched a new professional learning course available exclusively to educators.",4.0
2020,3,Comcast,CEO,Unknown,"After launching nationwide just this past July, we are excited to already have nearly 22 million Peacock sign-ups to date and have exceeded all of our internal engagement metrics, even without having the benefit of the 2020 Olympics.",4.0
2020,4,Apple,CEO,Unknown,"And Apple One, launching tomorrow, is the easiest way for users to enjoy Apple services like Music, TV+, Arcade, iCloud, News+, and Fitness+, on a single plan that is right for them and their family.",4.0
2020,4,Comcast,CEO,Unknown,And the main priority was today to get to this announcement of our expectations and then go ahead and hopefully see the world go in the right direction here and continue on the path we're on and get to the execution of that later in this year.,4.0
2020,4,Comcast,CEO,Unknown,And the main priority was today to get to this announcement of our expectations and then go ahead and hopefully see the world go in the right direction here and continue on the path we're on and get to the execution of that later in this year.,3.9
2020,4,Amazon,CEO,Unknown,"And today we announced that our founder and CEO, Jeff Bezos, will transition to the role of executive chair in the third quarter of this year, and that Andy Jassy will become chief executive officer at that time.",3.0
2020,4,Paramount Global,CEO,Unknown,"Today, Pluto is the number one free ad-supported streaming television service in the United States and is quickly becoming a leading fast service around the world.",2.9
2020,4,Amazon,CEO,Unknown,"Amazon Music launched podcasts in September, and in Q4, Prime members listened to millions of hours of podcasts each month.",2.8591
2020,4,Paramount Global,CEO,Unknown,"In addition to film, our Paramount Television Studios has had huge success with shows for a wide variety of platforms.",2.7364
2020,4,Paramount Global,CEO,Unknown,"Lastly, let me say that Paramount Plus is not the only part of our streaming strategy that makes us unique.",2.6864
2021,1,Apple,CEO,Unknown,"Through our partnership with Product Red, we've adapted our 14-year, $250 million effort to support HIV and AIDS work globally to ensure that care continues even in the time of COVID.",5.0
2021,1,Apple,CEO,Unknown,"Please note that some of the information you'll hear during our discussion today will consist of forward-looking statements, including without limitation, those regarding revenue, gross margin, operating expenses, other income and expense, taxes, capital allocation, and future business outlook, including the potential impact of COVID-19 on the company's business and results of operations.",4.9
2021,1,Apple,CEO,Unknown,"The program launched on January 1st, and we are already hearing from developers about how this change represents a transformation in their potential to create and grow on the App Store.",4.0
2021,1,Apple,CEO,Unknown,"The Propel Center launched with a $25 million commitment and with the support of historically black colleges and universities across the country, will help support the next generation of leaders in fields ranging from machine learning to app development to entrepreneurship and design.",4.0
2021,1,Roku,CEO,Unknown,"We've also found, and our strategy basically is to take the formula that's worked well for us in the US, our strategy, our products, our relationships, which are often with global companies, and use that same strategy in international markets, and focus on you know, kind of one market at a time and adding more markets.",3.9
2021,1,Roku,CEO,Unknown,"Let me just add one small thing, which is that DAI, you know, digital ad insertion, is something that's really relevant to televisions.",3.8136
2021,1,Disney,CEO,Unknown,"I think you've all seen several new announcements about things that we've done recently that may have been heresy prior to the pandemic, like recasting of our annual past program at Disneyland and reconsidering the overwhelming demand we have relative to supply.",3.0
2021,1,Meta Platforms,CEO,Unknown,"And we have a team internally that's focused on both first party, I guess it's all, first party, second party, and third party content, and making partnerships with studios.",3.0
2021,2,Paramount Global,CEO,Unknown,"And in 2022, We expect Pluto TV to launch in additional markets, including the Nordics, Benelux, Canada, Poland, and more.",4.8545
2021,2,Paramount Global,CEO,Unknown,"So it really is a modernization, a broadening, a making these partnerships even stronger as we together transform the benefit and for ViacomCBS, the business, and for ViacomCBS really accelerate the growth of our streaming portfolio.",4.7
2021,2,Paramount Global,CEO,Unknown,"This deal includes carriage renewals for our linear services, as well as renewals for our existing ad sales representation deals, plus robust launches of our streaming services to their sub-base in all the countries in 2022.",4.0
2021,2,Paramount Global,CEO,Unknown,I know from my decade running our international business that every market is different and often requires different strategies and partnerships to succeed.,4.0
2021,2,Paramount Global,CEO,Unknown,"Look, we continue to be extremely excited about the momentum and go-forward potential of our organic strategy as we leverage the assets of ViacomCBS to create value overall and certainly with respect to streaming.",3.9
2021,2,Paramount Global,CEO,Unknown,"So just to frame it, our streaming strategy overall is to access the largest total addressable market and do so by leveraging the full power of ViacomCBS.",3.9
2021,2,Paramount Global,CEO,Unknown,"And to that end, we saw a compelling opportunity to use renewals in the UK, Italy, and Germany to both elongate and continue to transform our business and specifically accelerate our streaming strategy.",3.6
2021,2,Paramount Global,CEO,Unknown,"For kids and young adults, we saw tremendous viewership for the new iCarly series, which was a leading acquisition driver in the quarter and which was just renewed for season two.",3.0
2021,3,Comcast,CEO,Unknown,"So I don't think we really haven't changed our the strategic imperative behind mobile, but most certainly things have accelerated, and that we are very focused on how we leverage mobile to support broadband, Once, you know, we successfully worked on the Verizon relationship and improved the MVNO relationship, we're able to go to market with and launching the new unlimited plans, combining that with buy the gig, just ",5.7
2021,3,Comcast,CEO,Unknown,"We see a lot of potential to take share in our large addressable market, which just got even bigger post our recent acquisition of Masergy, which builds on our strong offering of technology solutions.",4.7
2021,3,Comcast,CEO,Unknown,"All of Dave Watson and his team's superb execution is around decades of investment that has led to constant new product innovation, including this month's launch of X-Class TV, an extension of our leadership in video aggregation.",4.0
2021,3,Comcast,CEO,Unknown,"Our cable division continues to be a standout, delivering over 7% revenue growth and the fifth consecutive quarter of double-digit EBITDA growth, up 10%, fueled by our broadband business, which generated 300,000 net additions and contributed to a very healthy 255,000 net new customer relationships.",3.9
2021,3,Paramount Global,CEO,Unknown,"So while our strategy has shifted to become much more focused on owned and operated streaming with our franchises, et cetera, there is a tail to the call it legacy deals we've done.",3.9
2021,3,Comcast,CEO,Unknown,"We're also looking forward to extending our streaming platforms outside of the U.S., with Peacock launching on Sky next month and Sky Showtime in the works for mid-2022.",3.0
2021,3,Comcast,CEO,Unknown,"And so I was in London for the launch of Skyglass, and we've been working on it since the day we bought Sky, taking about three years to see it come to fruition.",3.0
2021,3,Comcast,CEO,Unknown,"So our importance to the streaming universe will continue to grow, and our relationship, and certainly the Apple announcement today, is the latest iteration of that.",3.0
2021,4,Apple,CEO,Unknown,"Please note that some of the information you'll hear during our discussion today will consist of forward-looking statements including, without limitation, those regarding revenue, gross margin, operating expenses, other income and expense, taxes, capital allocation, and future business outlook, including the potential impact of COVID-19 on the company's business and results of operations.",4.9
2021,4,Spotify,CEO,Unknown,"But honestly, when you look back, when we've made these batch launches before, which we've made a number of different times, we had a very similar one in LATAM.",4.0
2021,4,Apple,CEO,Unknown,"We also announced our all-new AirPods that feature spatial audio and industry-leading sound, longer battery life, and an all-new design.",3.9182
2021,4,Apple,CEO,Unknown,"But in general, I think that the marriage, if you will, or partnership between Apple and the carrier channel has never been stronger and that it's on very solid footing.",3.7
2021,4,Apple,CEO,Unknown,"At the end of the September quarter, we introduced our iPhone 13 lineup, as well as the Apple Watch Series 7, iPad, and iPad Mini, all of which represent significant advances.",3.0
2021,4,Apple,CEO,Unknown,"We also announced a new subscription tier to Apple Music called Apple Music Voice, which offers subscribers access to the services catalog of 90 million songs, all through the power of Siri.",3.0
2021,4,Spotify,CEO,Unknown,in the Latam launch was a very tough market where Argentina turned out to be a very easy growth market when we launched many years ago in Latam.,2.9545
2021,4,Spotify,CEO,Unknown,And so I can't really announce any specific on this other than to say that we're in constant dialogue with our partners to bring this to market.,1.9545
2022,1,Paramount Global,CEO,Unknown,"While many legacy streamers are rethinking their paid-only models, our mix of free ad-supported and paid subscription streaming options has been a hallmark of our strategy from the start, offering viewers the freedom to choose the plan that's right for them and giving us access to the largest global total addressable market while providing the benefit of dual revenue streams.",6.9
2022,1,Amazon,CEO,Unknown,"Companies like Telefonica, Verizon, Boeing, MongoDB, Amdocs, Bundesliga, Maple Leaf Sports and Entertainment, the NHL, and Thread announced new agreements and service launches supported by AWS.",5.0
2022,1,Apple,CEO,Unknown,"Please note that some of the information you'll hear during our discussion today will consist of forward-looking statements, including, without limitation, those regarding revenue, gross margin, operating expenses, other income and expense, taxes, capital allocation, and future business outlook, including the potential impact of COVID-19 on the company's business and results of operations.",4.9
2022,1,Paramount Global,CEO,Unknown,As an additional option and that'll set us up because we have the opportunity to do that with other brands as well So again serving super fans with a super broad offering but still offering some a la carte options We think is the right strategy.,4.9
2022,1,Paramount Global,CEO,Unknown,"So, yeah, we view all the discussion on advertising as a validation of our strategy, but we are the leader, and we have real assets here, and we will continue to push ahead and lead this market.",4.9
2022,1,Microsoft,CEO,Unknown,"Then with the Industry Cloud, we add value on top of that, which is specific, whether it's in retail, whether it's manufacturing, obviously in healthcare, and our pending Nuance acquisition will even add further to that.",4.0
2022,1,Paramount Global,CEO,Unknown,"Pluto launched more than 102 new channels internationally in the quarter for a total of now more than 1,000 global channels of great entertainment on the platform.",4.0
2022,1,Paramount Global,CEO,Unknown,"And based off the success of Jackass Forever, we're working with the creators to continue the partnership with a new series, bringing even more ridiculous antics straight to Paramount+.",4.0
2022,2,Alphabet,CEO,Unknown,"With an uncertain global economic outlook, our strategy to invest in deep technology and computer science to build helpful products for the long term is the right one.",5.5
2022,2,Apple,CEO,Unknown,"Please note that some of the information you'll hear during today's discussion will consist of forward-looking statements, including, without limitation, those regarding revenue, gross margin, operating expenses, other income and expense, taxes, capital allocation, and future business outlook, including the potential impact of COVID-19 on the company's business and results of operations.",4.9
2022,2,Spotify,CEO,Unknown,"But the trend line that we've seen now, as indicated since really our launch in 2008, is once we go through these growth spurts in MEU, it always, always leads to better subscriber numbers over time.",4.0
2022,2,Disney,CEO,Unknown,"So that domestic yield strategy has really structurally allowed us to increase that per capita spending meaningfully without having to rely solely on raising ticket prices, and we don't see any end in sight for that.",3.9
2022,2,Alphabet,CEO,Unknown,"and we continue to introduce new cybersecurity products that help customers detect, protect, and respond to a broad range of cybersecurity threats.",2.9682
2022,2,Alphabet,CEO,Unknown,"It also began charging trusted tester riders in San Francisco, a step closer to launching a commercial service with fully autonomous trips.",2.9318
2022,2,Alphabet,CEO,Unknown,"And a new immersive view in maps uses computer vision, AI, and billions of images to create high-fidelity representations of places around the world.",2.8773
2022,2,Amazon,CFO,Unknown,"This third quarter guidance assumes we see approximately $1.5 billion in quarter-over-quarter sequential cost improvement in our fulfillment network operations, which we expect will be largely offset by investments in AWS and additional digital content for Prime members.",8.8
2022,3,Roku,CEO,Unknown,"We are extending our ecosystem, and as we look ahead, we remain confident that our strategy and business model are the best way to maximize the opportunity to deliver both growth and profitability to our investors.",5.9
2022,3,Apple,CEO,Unknown,"And but in addition to those things, which those things affected all the products to some degree, we also had a different launch timing for certain home and accessory products.",5.0
2022,3,Microsoft,CEO,Unknown,Satya Nadella Chairman and Chief Executive Officer perfect um so i i think on the commercial side uh i think it's well understood is that windows is the socket for microsoft 365 we have tremendous value amy referenced this earlier uh in fact we just launched windows 11 um and uh pro value with windows 365 that's resonating super well the customer sat adoption rates uh when it comes whether it's security whether it's ,5.0
2022,3,Roku,CEO,Unknown,"So, you know, we'll see, but I'm, but I think the big picture around Charlie is just that, you know, he's a very senior media executive with a lot of experience in advertising and in content and programming and the strategy of running a media company.",4.9
2022,3,Roku,CEO,Unknown,"Anthony Wood Founder & Chief Executive Officer Yeah, I mean, I can say a few words about what we're seeing in the ad business, and then maybe Steve has something, some comments on that as well, and our guidance, I mean, our outlook.",4.9
2022,3,Apple,CEO,Unknown,"We recently announced that the Global Equity Innovation Hub, in partnership with Cal State Northridge, will provide new community grants to Hispanic-serving institutions to help the next generation of creators and innovators build skills and pursue high-demand careers in STEM.",4.0
2022,3,Meta Platforms,CEO,Unknown,"I think that there's a number of different products and platforms that we're building where we think we're doing leading work that will become launching consumer products and then eventually mature products at different cadences, different periods of time over the next five to ten years.",4.0
2022,3,Roku,CEO,Unknown,"You know, and again, just to recap, for those that don't know our strategy here, you know, if you think about when new computing platforms emerge, like happened with PCs, you get a lot of initial contenders or legacy businesses, and then it consolidates down to a small handful of winners.",3.9
2022,4,Paramount Global,CEO,Unknown,"where we gained important streaming footholds in international markets, including launches in the UK, Ireland, Italy, France, Germany, the Nordics, Canada, and South Korea, and where we created new and expanded partnerships with the likes of Walmart, Delta, Sky, Canal Plus, Chorus, Amazon, Roku, and others to rapidly become a streaming partner of choice in the transforming media landscape globally.",6.0
2022,4,Amazon,CEO,Unknown,"And it's one of the advantages that we've talked about since we launched AWS in 2006 of the cloud, which is that when it turns out you have a lot more demand than you anticipated, you can seamlessly scale up.",5.0
2022,4,Paramount Global,CEO,Unknown,"Our world-class content engine has driven the biggest subscriber additions in paid streaming since launch, including an industry-leading 9.9 million new Paramount Plus subscribers in Q4.",5.0
2022,4,Paramount Global,CEO,Unknown,"And finally, we see partnerships as another level for revenue growth, including new relationships with Delta, 3, and Orange, among others.",4.9273
2022,4,Paramount Global,CEO,Unknown,"And with respect to the cost of general entertainment, which you didn't specifically ask, but certainly was built into that conversation that you're referring to, look, our multi-platform strategy and franchise focus ensure we can build a differentiated content slate and simultaneously create a compelling content ROI.",4.9
2022,4,Warner Bros Discovery,CEO,Unknown,"All the meetings that I've had in the last two weeks are about great content that we're producing, meeting with creatives that want to come here, what more shows are we going to be selling, what more shows are we going to be keeping on our platform, and getting ready for our new launch.",4.0
2022,4,Paramount Global,CEO,Unknown,"And our one Paramount has had one approach, a multi-platform strategy that leverages our existing business, our distinct content strategy, and our expansive relationships to evolve successfully through an industry-wide transformation.",3.9
2022,4,Paramount Global,CEO,Unknown,"Bob Backish President & CEO yeah sure ben so the first part of your question obviously 2022 extremely successful year for paramount pictures six number ones at the box office in the u.s on an eight picture slate which gave us really a better hit rate certainly than the industry average um no question our film investment is paying real dividends as you know we both monetize it in the theater and on Paramount+, and so ",3.9
2023,1,Apple,CEO,Unknown,And we feel very good about the product that we announced back in September and are happy to now be at a point where we're shipping to the demand.,2.9636
2023,1,Roku,CEO,Unknown,"I'll just say that data partnerships are definitely an area that we're focused on, and there's great value in a bunch of different ways.",2.9182
2023,1,Warner Bros Discovery,CEO,Unknown,"Before we start, I'd like to remind you that today's conference call will include forward-looking statements that we make pursuant to the safe harbor provisions of the private securities litigation reform act of 1995.",1.9
2023,1,Warner Bros Discovery,CFO,Unknown,I remain confident in our guidance of adjusted EBITDA in the range of low to mid $11 billion and one-third to one-half conversion to free cash flow.,7.0727
2023,1,Amazon,CFO,Unknown,"We also saw strong engagement in our advertising services, with revenue up 23% year-over-year, excluding the impact from changes in foreign exchange rates.",6.8
2023,1,Disney,CFO,Unknown,"However, we delivered a significant improvement on a quarter-over-quarter basis at our direct-to-consumer business, As we progress on our path towards profitability, with Q1 operating losses improving sequentially by over $400 million from Q4, the sequential improvement at DTC was driven by higher revenue and lower SG&A costs, partially offset by higher programming and production costs.",6.8
2023,1,Disney,CFO,Unknown,"Broadcasting and our other domestic cable networks will be adversely impacted in the second quarter by approximately $300 million, driven primarily by headwinds in advertising and, to a lesser extent, affiliate revenue.",6.7
2023,1,Warner Bros Discovery,CFO,Unknown,"That is, after accounting for the NCAA Men's Final Four last year and the Stanley Cup Finals this year, which combined will account for a net 200 basis points headwind to Global Network's advertising revenues.",6.7
2023,2,Disney,CEO,Unknown,"Bob Iger Chief Executive Officer On the integrated app experience that we announced today, that's for consumers that have subscribed to both services for now.",2.0
2023,2,Roku,CEO,Unknown,"Devices are a customer acquisition channel for us, and how much we spend there varies based on a lot of factors, including looking at the value of the customers we receive and the return from different segments of distribution.",2.0
2023,2,Disney,CFO,Unknown,"Second quarter domestic linear advertising revenue declined 10% year-over-year, although ESPN ad revenue was up 2% or flat when adjusted for certain non-comparable items, including CFP timing.",7.1
2023,2,Disney,CFO,Unknown,"While domestic subs declined slightly in the quarter from continued impacts from the price increase, domestic ARPU increased sequentially by 20%, reflecting strong subscription revenue growth.",5.8
2023,2,Meta Platforms,CFO,Unknown,"In 2024 specifically, I think that'll be driven by a combination of both headcount related and operating costs related.",4.9409
2023,2,Apple,CFO,Unknown,"Just to remind you, in the June quarter a year ago, we had the full quarter impact of the launch for both of the iPhone SE and the iPad Air.",4.9364
2023,2,Disney,CFO,Unknown,"At linear networks, results were consistent with guidance given last quarter, driven by decreases of approximately $800 million at our domestic linear networks and $160 million at our international linear networks.",4.1
